StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,academic_composite,study_efficiency,cluster
0.358974358974359,0.10000000000000009,0.5,0.0,0.0,1.0,0.0,0.09090909090909083,0.6666666666666666,0.4,1.0,0.17999999999999994,0.0,0.0,0.5,1.0,0.06428571428571428,0.05689900426742533,1
0.358974358974359,0.10000000000000009,0.5,0.0,0.0,1.0,0.0,0.45454545454545436,1.0,0.8,0.0,0.8,0.43333333333333346,0.0,0.5,0.6666666666666666,0.5642857142857142,0.12901849217638692,1
0.358974358974359,0.10000000000000009,0.5,0.0,0.0,1.0,0.0,0.909090909090909,0.3333333333333333,0.9500000000000001,0.0,0.3400000000000001,0.9833333333333333,1.0,0.5,0.0,0.7535714285714284,0.2205547652916074,2
0.358974358974359,0.10000000000000009,0.5,1.0,0.0,1.0,0.0,0.09090909090909083,0.6666666666666666,0.4,1.0,0.17999999999999994,0.0,0.0,0.5,1.0,0.06428571428571428,0.05689900426742533,1
0.358974358974359,0.10000000000000009,0.5,1.0,0.0,1.0,0.0,0.45454545454545436,1.0,0.8,0.0,0.8,0.43333333333333346,0.0,0.5,0.6666666666666666,0.5642857142857142,0.12901849217638692,1
0.358974358974359,0.10000000000000009,0.5,1.0,0.0,1.0,0.0,0.909090909090909,0.3333333333333333,0.9500000000000001,0.0,0.3400000000000001,0.9833333333333333,1.0,0.5,0.0,0.7535714285714284,0.2205547652916074,3
0.358974358974359,0.10000000000000009,0.0,1.0,0.0,1.0,0.0,0.09090909090909083,0.6666666666666666,0.4,1.0,0.17999999999999994,0.0,0.0,0.5,1.0,0.06428571428571428,0.05689900426742533,1
0.358974358974359,0.10000000000000009,0.0,1.0,0.0,1.0,0.0,0.45454545454545436,1.0,0.8,0.0,0.8,0.43333333333333346,0.0,0.5,0.6666666666666666,0.5642857142857142,0.12901849217638692,1
0.358974358974359,0.10000000000000009,0.0,1.0,0.0,1.0,0.0,0.909090909090909,0.3333333333333333,0.9500000000000001,0.0,0.3400000000000001,0.9833333333333333,1.0,0.5,0.0,0.7535714285714284,0.2205547652916074,3
0.358974358974359,0.10000000000000009,0.5,1.0,0.5,1.0,0.0,0.09090909090909083,0.6666666666666666,0.4,1.0,0.17999999999999994,0.0,0.0,0.5,1.0,0.06428571428571428,0.05689900426742533,1
0.358974358974359,0.10000000000000009,0.5,1.0,0.5,1.0,0.0,0.45454545454545436,1.0,0.8,0.0,0.8,0.43333333333333346,0.0,0.5,0.6666666666666666,0.5642857142857142,0.12901849217638692,1
0.358974358974359,0.10000000000000009,0.5,1.0,0.5,1.0,0.0,0.909090909090909,0.3333333333333333,0.9500000000000001,0.0,0.3400000000000001,0.9833333333333333,1.0,0.5,0.0,0.7535714285714284,0.2205547652916074,3
0.358974358974359,0.10000000000000009,0.5,0.0,0.0,1.0,0.0,0.09090909090909083,0.6666666666666666,0.4,1.0,0.17999999999999994,0.0,0.0,0.5,1.0,0.06428571428571428,0.05689900426742533,1
0.358974358974359,0.10000000000000009,0.5,0.0,0.0,1.0,0.0,0.45454545454545436,1.0,0.8,0.0,0.8,0.43333333333333346,0.0,0.5,0.6666666666666666,0.5642857142857142,0.12901849217638692,1
0.358974358974359,0.10000000000000009,0.5,0.0,0.0,1.0,0.0,0.909090909090909,0.3333333333333333,0.9500000000000001,0.0,0.3400000000000001,0.9833333333333333,1.0,0.5,0.0,0.7535714285714284,0.2205547652916074,2
0.358974358974359,0.10000000000000009,1.0,0.0,0.5,1.0,0.0,0.09090909090909083,0.6666666666666666,0.4,1.0,0.17999999999999994,0.0,0.0,0.5,1.0,0.06428571428571428,0.05689900426742533,1
0.358974358974359,0.10000000000000009,1.0,0.0,0.5,1.0,0.0,0.45454545454545436,1.0,0.8,0.0,0.8,0.43333333333333346,0.0,0.5,0.6666666666666666,0.5642857142857142,0.12901849217638692,1
